CATALOGID_1,CATALOGID_2,CATALOGID_3,CATALOGID_4,CATALOGID_5,CATALOGID_6,CATALOGID_7,CATALOGID_8,CATALOGID_9,CATALOGID_10,UserId,URL,Password
MISC-NONCORDFS,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
21899-864,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
10030-968,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
10746-446,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
89499-420,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
TXLBC017125ALN,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
25384-342,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
BDH83639.400,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
89125-196,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
89125-196,,,,,,,,,,US-User,https://p2.avantorsciences.com/us/en/,Production@123
TXLGWVCLPSTCPS,,,,,,,,,,,,
89413-086,,,,,,,,,,,,
76322-150,,,,,,,,,,,,
32934-080,,,,,,,,,,,,
MISC-EQUP-STDP,,,,,,,,,,,,
28143-544,,,,,,,,,,,,
EM-AX0145-1,,,,,,,,,,,,
MISC-CHEM-LAB,,,,,,,,,,,,
25384-302,,,,,,,,,,,,
75816-088,,,,,,,,,,,,
28143-566,,,,,,,,,,,,
76322-154,,,,,,,,,,,,
414004-486,,,,,,,,,,,,
89125-188,,,,,,,,,,,,
73520-986,,,,,,,,,,,,
76311-090,,,,,,,,,,,,
MFLX07522-20,,,,,,,,,,,,
89201-928,,,,,,,,,,,,
48311-703,,,,,,,,,,,,
89108-160,,,,,,,,,,,,
BDH20864.400,,,,,,,,,,,,
77776-026,,,,,,,,,,,,
32934-078,,,,,,,,,,,,
75816-090,,,,,,,,,,,,
10148-324,,,,,,,,,,,,
28198-861,,,,,,,,,,,,
89125-646,,,,,,,,,,,,
414004-510,,,,,,,,,,,,
75816-100,,,,,,,,,,,,
EM-AX0142-1,,,,,,,,,,,,
87003-261,,,,,,,,,,,,
10803-094,,,,,,,,,,,,
21914-758,,,,,,,,,,,,
40101-354,,,,,,,,,,,,
14223-502,,,,,,,,,,,,
76243-872,,,,,,,,,,,,
76945-146,,,,,,,,,,,,
89125-194,,,,,,,,,,,,
21899-861,,,,,,,,,,,,
21905-026,,,,,,,,,,,,
MFLX96410-73,,,,,,,,,,,,
28146-177,,,,,,,,,,,,
32934-082,,,,,,,,,,,,
TWTX3224,,,,,,,,,,,,
89108-162,,,,,,,,,,,,
MISC-INSTRUMNT,,,,,,,,,,,,
76200-280,,,,,,,,,,,,
33503-128,,,,,,,,,,,,
JT9012-3,,,,,,,,,,,,
47751-458,,,,,,,,,,,,
71003-690,,,,,,,,,,,,
BDH1156-4LP,,,,,,,,,,,,
EM-AX0156-1,,,,,,,,,,,,
76307-464,,,,,,,,,,,,
25608-978,,,,,,,,,,,,
TX89080-538IDT,,,,,,,,,,,,
76311-096,,,,,,,,,,,,
MFLX96403-36,,,,,,,,,,,,
28143-574,,,,,,,,,,,,
89214-778,,,,,,,,,,,,
BDH23595.400,,,,,,,,,,,,
10821-380,,,,,,,,,,,,
JT9829-3,,,,,,,,,,,,
JT4218-3,,,,,,,,,,,,
TX442023DUR,,,,,,,,,,,,
25384-094,,,,,,,,,,,,
TWTX750E,,,,,,,,,,,,
47729-572,,,,,,,,,,,,
68300-556,,,,,,,,,,,,
90003-800,,,,,,,,,,,,
76201-710,,,,,,,,,,,,
89127-354,,,,,,,,,,,,
29442-070,,,,,,,,,,,,
76642-512,,,,,,,,,,,,
MFLX96420-73,,,,,,,,,,,,
45000-448,,,,,,,,,,,,
MISC-EQUIP,,,,,,,,,,,,
76499-312,,,,,,,,,,,,
TXL89133820ATG,,,,,,,,,,,,
MFLX96403-73,,,,,,,,,,,,
JT9017-33,,,,,,,,,,,,
76322-134,,,,,,,,,,,,
82021-434,,,,,,,,,,,,
21912-046,,,,,,,,,,,,
41012-984,,,,,,,,,,,,
10821-366,,,,,,,,,,,,
28143-586,,,,,,,,,,,,
76325-902,,,,,,,,,,,,
76322-132,,,,,,,,,,,,
25384-088,,,,,,,,,,,,
